Study ID,Title,Form,Reviewer,Status,Intervention,Linked suggestion,Group name,Identification: Sponsorship source,Identification: Country,Identification: Author's name,Identification: Institution,Identification: Journal Name,Identification: Paper Title,Identification: Year of Publication,Identification: Notes,Methods: Please copy in one or more separated by a semi-colon: Lab (experimental); Lab (pilot); Economic Assessment; Environmental Assessment; Simulation or Modeling; Characterization,Methods: Notes,Population: Group differences,Population: Total sample size,Population: Notes,Population Baseline Characteristics: Mean age (years) ± SD,Population Baseline Characteristics: Mean age (years) ± SD (Overall),Intervention Characteristics: Raw Feedstock Concentration,Intervention Characteristics: units1,Intervention Characteristics: Leached REE Concentration,Intervention Characteristics: units2,Interventions: Notes,Reported outcomes in study,Outcomes: Notes,Result data: Notes,Outcome details: Example continuous outcome - Reported name,Outcome details: Example continuous outcome - Outcome type,Outcome details: Example continuous outcome - Reported against,Outcome details: Example continuous outcome - Reported as,Outcome details: Example continuous outcome - Reference arm,Outcome details: Example continuous outcome - Outcome group,Outcome details: Example continuous outcome - Reporting,Outcome details: Example continuous outcome - Range,Outcome details: Example continuous outcome - Unit of measure,Outcome details: Example continuous outcome - Timepoints,Outcome details: Example continuous outcome (End of study) Reported time,Outcome details: Example continuous outcome - Notes,Result data: Example continuous outcome (End of study) SD,Result data: Example continuous outcome (End of study) median,Result data: Example continuous outcome (End of study) SMD,Outcome details: Example dichotomous outcome - Reported name,Outcome details: Example dichotomous outcome - Outcome type,Outcome details: Example dichotomous outcome - Reported against,Outcome details: Example dichotomous outcome - Reported as,Outcome details: Example dichotomous outcome - Reference arm,Outcome details: Example dichotomous outcome - Outcome group,Outcome details: Example dichotomous outcome - Reporting,Outcome details: Example dichotomous outcome - Range,Outcome details: Example dichotomous outcome - Unit of measure,Outcome details: Example dichotomous outcome - Timepoints,Outcome details: Example dichotomous outcome (End of study) Reported time,Outcome details: Example dichotomous outcome - Notes,Result data: Example dichotomous outcome (End of study) Events,Result data: Example dichotomous outcome (End of study) Total,Outcome details: REE Results (idk) - Reported name,Outcome details: REE Results (idk) - Outcome type,Outcome details: REE Results (idk) - Reported against,Outcome details: REE Results (idk) - Reported as,Outcome details: REE Results (idk) - Reference arm,Outcome details: REE Results (idk) - Outcome group,Outcome details: REE Results (idk) - Reporting,Outcome details: REE Results (idk) - Range,Outcome details: REE Results (idk) - Unit of measure,Outcome details: REE Results (idk) - Timepoints,Outcome details: REE Results (idk) (Hydrometal) Reported time,Outcome details: REE Results (idk) (Pyrometal) Reported time,Outcome details: REE Results (idk) - Notes,Result data: REE Results (idk) (Hydrometal) Themes,Result data: REE Results (idk) (Hydrometal) Quote,Result data: REE Results (idk) (Hydrometal) Specific Feedstock,Result data: REE Results (idk) (Pyrometal) Themes,Result data: REE Results (idk) (Pyrometal) Quote,Result data: REE Results (idk) (Pyrometal) Specific Feedstock,Outcome details: Circular Economy - Reported name,Outcome details: Circular Economy - Outcome type,Outcome details: Circular Economy - Reported against,Outcome details: Circular Economy - Reported as,Outcome details: Circular Economy - Reference arm,Outcome details: Circular Economy - Outcome group,Outcome details: Circular Economy - Reporting,Outcome details: Circular Economy - Range,Outcome details: Circular Economy - Unit of measure,Outcome details: Circular Economy - Timepoints,Outcome details: Circular Economy (End of study) Reported time,Outcome details: Circular Economy - Notes,Result data: Circular Economy (End of study) Total,Result data: Circular Economy (End of study) Reuse
Li 2025,Selective extraction of scandium from bauxite residue (red mud) utilizing iron sulfate roasting followed by water leaching,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
deOliveira 2017,Green selective recovery of lanthanum from Ni-MH battery leachate using aqueous two-phase systems,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Dvořák 2015,Obtaining nickel and cobalt from spent NiMH batteries,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Krishna 2024,An experimental investigation and predictive modeling using machine learning technique for reclamation of metal values from scrap NdFeB magnets,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Daminescu 2023,"Kinetic Modelling the Solid–Liquid Extraction Process of Scandium from Red Mud: Influence of Acid Composition, Contact Time and Temperature",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Sun 2016,Recycling of metals from urban mines - A strategic evaluation,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Nikulski 2021,The potential and limitations of critical raw material recycling: The case of led lamps,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Vilakazi 2025,"Dry Magnetic Separation and the Leaching Behaviour of Aluminium, Iron, Titanium, and Selected Rare Earth Elements (REEs) from Coal Fly Ash",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Priya 2021,Characterization of particle size-based deportment of metals in various waste printed circuit boards towards metal recovery,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Konyalıoğlu 2024,EU-Focused Circular Economy Modelling of Rare Earth Element Waste in Mobile Phone Touch Screens by a System Dynamics Approach,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Serranti 2018,Integrated micro x-ray fluorescence and chemometric analysis for printed circuit boards recycling,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Ni’Am 2020,Recovery of Neodymium from Waste Permanent Magnets by Hydrometallurgy Using Hollow Fibre Supported Liquid Membranes,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wu 2023,P350-N235 synergistic extraction system used for the recovery of Nd(III) from waste NdFeB magnets,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Buchmann 2020,Evaluation of recyclability of a WEEE slag by means of integrative x-ray computer tomography and sem-based image analysis,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zheng 2024,"Revisiting sustainable resources in the combustion products of alumina-rich coal: Critical metal (Li, Ga, Nb, and REY) potential of ash from the Togtoh Power Plant, Inner Mongolia, China",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Rizky 2024,LEACHING OF YTTRIUM AND EUROPIUM FROM CATHODE RAY TUBE WASTE USING BETAINFATTY ACID EUTECTIC IONIC LIQUIDS,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Alonso-Fariñas 2020,Sustainable management of spent fluid catalytic cracking catalyst from a circular economy approach,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Dupont 2015,Recycling of rare earths from NdFeB magnets using a combined leaching/extraction system based on the acidity and thermomorphism of the ionic liquid [Hbet][Tf2N],Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Jin 2019,A bi-objective network design for value recovery of neodymium-iron-boron magnets: A case study of the United States,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Das 2025,Recovery of iron as hematite and separation of trivalent lanthanide ions from spent hard disk magnet leach liquor using [P66614][Cy272] ionic liquid,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Kohl 2018,"Physical and chemical characterization and recycling potential of desktop computer waste, without screen",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Daware 2021,"Recovery of Neodymium and Dysprosium from Waste Hard Disk Magnets: Roasting, Selective Leaching, Extraction and Stripping",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zglinicki 2020,Monazite-bearing post processing wastes and their potential economic significance,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Dahan 2022,Hydrochloric Acid Leaching of Philippine Coal Fly Ash: Investigation and Optimisation of Leaching Parameters by Response Surface Methodology (RSM),Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zeng 2016,"Uncovering the Recycling Potential of ""new"" WEEE in China",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Priyadarshini 2025,Recovery of iron rich metallic phase as Fe-Fe3C alloy through smelting of NdFeB permanent magnet scrap,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Shoppert 2023,Kinetics of Aluminum and Scandium Extraction from Desilicated Coal Fly Ash by High-Pressure HCl Leaching,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Vieira 2025,Ready-to-use Composite FDM Filaments produced with PLA and Recycled Nd-Fe-B Nanocrystalline Powder for additive manufacturing of bonded magnets,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
